Exterior_team,score_exterior,scorer_names_ext,Domicile_team,score_dom,scorer_names_dom,lieu_match,date,journee,region,clean_date,temp_max,temp_min,precipitations
Brest,2,"['S. Mounié', 'S. Mounié']",Nice,3,"['R. Lopes', 'H. Boudaoui', 'H. Kamara']",Nice,2021/05/09,36,provence-alpes-c-te-d-azur,2021-05-09 15:00:00+02:00,18°,15°,0mm
Dijon,0,[],Angers,3,"['A. Fulgini', 'F. El-Melali', 'L. Diony']",Angers,2021/05/09,36,pays-de-la-loire,2021-05-09 15:00:00+02:00,20°,15°,3mm
Monaco,1,['E. Matazo'],Reims,0,[],Reims,2021/05/09,36,champagne-ardenne,2021-05-09 17:05:00+02:00,22°,13°,2mm
Paris-SG,1,['+6 Neymar'],Rennes,1,['S. Guirassy'],Rennes,2021/05/09,36,bretagne,2021-05-09 21:00:00+02:00,18°,11°,0mm
Saint-Étienne,0,[],Lille,0,[],Lille,2021/05/16,37,nord-pas-de-calais,2021-05-16 21:00:00+02:00,14°,8°,6mm
Reims,0,[],Paris-SG,4,"['Neymar 13’', 'K. Mbappé', 'Marquinhos 68’', 'M. Kean']",Paris,2021/05/16,37,ile-de-france,2021-05-16 21:00:00+02:00,16°,10°,3mm
Rennes,1,['A. Disasi'],Monaco,2,"['W. Ben', 'A. Golovine']",Monaco,2021/05/16,37,provence-alpes-c-te-d-azur,2021-05-16 21:00:00+02:00,17°,15°,0mm
Lyon,5,"['L. Paqueta', 'M. Depay', 'L. Paqueta', 'H. Aouar', 'I. Slimani']",Nîmes,2,"['M. Koné', 'M. Koné']",Nîmes,2021/05/16,37,languedoc-roussillon,2021-05-16 21:00:00+02:00,20°,13°,1mm
Angers,2,"['M. Pereira', 'R. Thomas']",Marseille,3,"['A. Milik', 'A. Milik', 'A. Milik']",Marseille,2021/05/16,37,provence-alpes-c-te-d-azur,2021-05-16 21:00:00+02:00,17°,14°,1mm
Lens,0,[],Bordeaux,3,"['U. Hwang', 'Y. Sabaly', 'M. Zerkane']",Bordeaux,2021/05/16,37,aquitaine,2021-05-16 21:00:00+02:00,15°,13°,8mm
Brest,0,[],Montpellier,0,[],Montpellier,2021/05/16,37,languedoc-roussillon,2021-05-16 21:00:00+02:00,19°,14°,3mm
Strasbourg,2,"['L. Ajorque', 'L. Ajorque']",Nice,0,[],Nice,2021/05/16,37,provence-alpes-c-te-d-azur,2021-05-16 21:00:00+02:00,18°,15°,0mm
Metz,1,['B. Traoré'],Lorient,2,"['Y. Wissa', 'J. Hergault']",Lorient,2021/05/16,37,bretagne,2021-05-16 21:00:00+02:00,13°,11°,7mm
Nantes,4,"['K. Coulibaly', 'R. Kolo', '+1 L.', '+3 R.']",Dijon,0,[],Dijon,2021/05/16,37,bourgogne,2021-05-16 21:00:00+02:00,14°,9°,7mm
Lille,2,"['J. David', '+1 B.']",Angers,1,['A. Fulgini'],Angers,2021/05/23,38,pays-de-la-loire,2021-05-23 21:00:00+02:00,16°,7°,1mm
Paris-SG,2,"['R. Faivre', 'K. Mbappé']",Brest,0,[],Brest,2021/05/23,38,bretagne,2021-05-23 21:00:00+02:00,12°,9°,11mm
Monaco,0,[],Lens,0,[],Lens,2021/05/23,38,nord-pas-de-calais,2021-05-23 21:00:00+02:00,14°,7°,2mm
Nice,3,"['K. Dolberg', 'H. Kamara', 'W. Saliba']",Lyon,2,"['K. Toko', 'K. Toko']",Lyon,2021/05/23,38,rh-ne-alpes,2021-05-23 21:00:00+02:00,19°,10°,1mm
Marseille,1,['+13 A.'],Metz,1,['F. Boulaya'],Metz,2021/05/23,38,lorraine,2021-05-23 21:00:00+02:00,14°,7°,1mm
Nîmes,0,[],Rennes,2,"['S. Guirassy', 'B. Bourigeaud']",Rennes,2021/05/23,38,bretagne,2021-05-23 21:00:00+02:00,15°,5°,2mm
Montpellier,2,"['G. Laborde', 'A. Delort']",Nantes,1,['R. Kolo'],Nantes,2021/05/23,38,pays-de-la-loire,2021-05-23 21:00:00+02:00,16°,8°,1mm
Dijon,1,['A. Kamara'],Saint-Étienne,0,[],Saint-Étienne,2021/05/23,38,rh-ne-alpes,2021-05-23 21:00:00+02:00,17°,7°,0mm
Bordeaux,2,"['Y. Adli', 'E. Kwateng']",Reims,1,['E. Touré'],Reims,2021/05/23,38,champagne-ardenne,2021-05-23 21:00:00+02:00,14°,7°,1mm
Lorient,1,['T. Chalobah'],Strasbourg,1,['H. Diallo'],Strasbourg,2021/05/23,38,alsace,2021-05-23 21:00:00+02:00,16°,8°,2mm
